INDEX,LOAD,WIND,SOLAR,RESIDUAL,SOC
144,34.239,72.08,0,-37.841,2242.104
145,29.743,72.49,0,-42.747,2284.851
146,28.604,72.434,0,-43.83,2328.681
147,29.605,71.905,0,-42.3,2370.981
148,34.462,71.152,0,-36.69,2407.671
149,40.325,70.387,0,-30.062,2437.733
150,44.254,69.164,0,-24.91,2462.643
151,46.205,67.583,0.321,-21.699,2484.342
152,46.734,66.618,1.861,-21.745,2506.087
153,46.776,66.163,3.289,-22.676,2528.763
154,46.635,65.636,3.88,-22.881,2551.644
155,46.025,64.421,4.026,-22.422,2574.066
156,45.741,61.857,3.766,-19.882,2593.948
157,45.83,59.772,1.963,-15.905,2609.853
158,48.387,59.015,0.536,-11.164,2621.017
159,51.128,59.914,0.001,-8.787,2629.804
160,51.802,61.377,0,-9.575,2639.379
161,51.801,62.041,0,-10.24,2649.619
162,50.643,62.131,0,-11.488,2661.107
163,49.248,61.542,0,-12.294,2673.401
164,46.069,61.482,0,-15.413,2688.814
165,42.14,61.928,0,-19.788,2708.602
166,46.279,63.939,0,-17.66,2726.262
167,44.736,65.471,0,-20.735,2746.997
168,42.525,66.122,0,-23.597,2770.594
169,41.208,65.987,0,-24.779,2795.373
170,39.386,65.173,0,-25.787,2821.16
171,37.372,63.5,0,-26.128,2847.288
172,40.908,61.24,0,-20.332,2867.62
173,46.132,59.79,0,-13.658,2881.278
174,48.081,58.906,0,-10.825,2892.103
175,49.355,58.526,0.531,-9.702,2901.805
176,50.2,58.12,2.505,-10.425,2912.23
177,51.236,60.281,3.836,-12.881,2925.111
178,51.409,62.666,4.008,-15.265,2940.376
179,50.615,64.794,3.182,-17.361,2957.737
180,50.163,65.849,1.607,-17.293,2975.03
181,50.245,65.665,0.702,-16.122,2991.152
182,54.148,65.904,0.275,-12.031,3003.183
183,57.251,66.692,0.002,-9.443,3012.626
184,58.981,66.756,0,-7.775,3020.401
185,57.731,65.845,0,-8.114,3028.515
186,56.316,65.134,0,-8.818,3037.333
187,53.683,65.501,0,-11.818,3049.151
188,49.855,67.826,0,-17.971,3067.122
189,46.566,71.426,0,-24.86,3091.982
190,44.604,73.821,0,-29.217,3121.199
191,43.024,75.553,0,-32.529,3153.728
192,40.773,76.713,0,-35.94,3189.668
193,39.391,77.481,0,-38.09,3227.758
194,37.529,77.241,0,-39.712,3267.47
195,35.361,76.932,0,-41.571,3309.041
196,38.699,77.517,0,-38.818,3347.859
197,43.856,77.931,0,-34.075,3381.934
198,45.831,78.031,0,-32.2,3414.134
199,47.205,77.358,0.237,-30.39,3444.524
200,48.123,73.544,1.399,-26.82,3471.344
201,49.169,75.008,2.696,-28.535,3499.879
202,49.362,75.564,3.903,-30.105,3529.984
203,48.603,75.786,4.486,-31.669,3561.653
204,48.115,74.751,3.29,-29.926,3591.579
205,48.15,72.458,1.92,-26.228,3617.807
206,51.982,68.105,0.549,-16.672,3634.479
207,55.059,64.581,0.001,-9.523,3644.002
208,56.828,61.633,0,-4.805,3648.807
209,55.597,58.913,0,-3.316,3652.123
210,54.194,55.927,0,-1.733,3653.856
211,51.613,53.306,0,-1.693,3655.549
212,47.971,48.299,0,-0.328,3655.877
213,44.895,47.148,0,-2.253,3658.13
214,48.339,46.715,0,1.624,3656.506
215,46.814,46.483,0,0.331,3656.175
216,44.623,46.265,0,-1.642,3657.817
217,43.336,47.137,0,-3.801,3661.618
218,41.536,47.757,0,-6.221,3667.839
219,39.593,48.61,0,-9.017,3676.856
220,43.233,50.568,0,-7.335,3684.191
221,48.487,53.138,0,-4.651,3688.842
222,50.426,56.134,0,-5.708,3694.55
223,51.646,58.104,0.256,-6.714,3701.264
224,52.451,60.001,1.791,-9.341,3710.605
225,53.482,60.814,4.139,-11.471,3722.076
226,53.648,61.393,6.212,-13.957,3736.033
227,52.838,62.089,7.506,-16.757,3752.79
228,52.402,59.501,6.996,-14.095,3766.885
229,52.505,53.732,4.622,-5.849,3772.734
230,56.452,48.781,1.627,6.044,3766.69
231,59.567,47.555,0.018,11.994,3754.696
232,61.283,50.324,0,10.959,3743.737
233,60.02,55.096,0,4.924,3738.813
234,58.603,62.767,0,-4.164,3742.977
235,55.943,68.711,0,-12.768,3755.745
236,52.023,71.906,0,-19.883,3775.628
237,48.624,73.423,0,-24.799,3800.427
238,46.687,74.611,0,-27.924,3828.351
239,45.138,72.668,0,-27.53,3855.881
240,42.924,72.914,0,-29.99,3885.871
241,41.596,71.088,0,-29.492,3915.363
242,39.771,66.576,0,-26.805,3942.168
243,37.734,69.545,0,-31.811,3973.979
